first_merged_id,second_merged_id,distances,num_obs_in_cluster
49.0,116.0,1.1136997938156128,2.0
13.0,14.0,1.1136997938156128,2.0
33.0,45.0,1.300758719444275,2.0
12.0,32.0,1.300758719444275,2.0
61.0,64.0,1.300758719444275,2.0
62.0,63.0,1.300758719444275,2.0
123.0,124.0,1.780394434928894,2.0
57.0,58.0,1.8058793544769287,2.0
111.0,112.0,1.8138079643249512,2.0
78.0,107.0,1.8597303628921509,2.0
59.0,99.0,1.906527042388916,2.0
7.0,68.0,1.913691520690918,2.0
8.0,69.0,1.913691520690918,2.0
50.0,51.0,1.9233529567718506,2.0
105.0,128.0,1.9605002572557098,3.0
25.0,85.0,1.9624943733215332,2.0
80.0,118.0,1.9717979431152344,2.0
87.0,97.0,1.9717979431152344,2.0
21.0,86.0,1.99895179271698,2.0
65.0,90.0,2.173515558242798,2.0
36.0,70.0,2.173515558242798,2.0
93.0,95.0,2.27986216545105,2.0
47.0,115.0,2.27986216545105,2.0
96.0,102.0,2.27986216545105,2.0
46.0,127.0,2.3812442541639043,3.0
121.0,122.0,2.5848515033721924,2.0
29.0,74.0,2.5911648273468018,2.0
72.0,73.0,2.657789468765259,2.0
98.0,134.0,2.826292634010315,3.0
88.0,89.0,2.9427649974823,2.0
19.0,91.0,3.0009679794311523,2.0
20.0,94.0,3.0009679794311523,2.0
16.0,37.0,3.0121102333068848,2.0
131.0,132.0,3.1756282750369915,4.0
101.0,144.0,3.2165251609569383,3.0
0.0,147.0,3.3068365461589058,3.0
18.0,38.0,3.3705997467041016,2.0
48.0,129.0,3.66752954816696,3.0
30.0,130.0,3.66752954816696,3.0
75.0,76.0,3.877127170562744,2.0
53.0,120.0,3.984074592590332,2.0
52.0,159.0,4.00751229698329,3.0
83.0,154.0,4.017981144344633,3.0
10.0,44.0,4.087631702423096,2.0
60.0,126.0,4.100743770599365,2.0
6.0,28.0,4.11626672744751,2.0
5.0,167.0,4.320489384383393,3.0
133.0,152.0,4.460064093778284,4.0
42.0,43.0,4.469247341156006,2.0
1.0,3.0,4.469362258911133,2.0
82.0,114.0,4.541449069976807,2.0
156.0,161.0,4.575131045480165,5.0
54.0,155.0,4.600918637740485,4.0
153.0,160.0,4.631783936924525,6.0
31.0,177.0,4.698340674481444,3.0
9.0,139.0,4.8523490710118695,3.0
100.0,178.0,4.96207280078303,6.0
11.0,141.0,4.991078131087224,4.0
109.0,110.0,4.99609899520874,2.0
56.0,137.0,5.011486736207208,3.0
84.0,146.0,5.152056898863067,3.0
149.0,151.0,5.158616526588393,5.0
4.0,67.0,5.16703462600708,2.0
92.0,148.0,5.2284897263001255,3.0
35.0,150.0,5.229684526791047,3.0
55.0,186.0,5.364239232640316,4.0
22.0,157.0,5.380081994451329,3.0
125.0,164.0,5.4933222786028,4.0
136.0,138.0,5.689647791120006,4.0
140.0,145.0,5.9994025766163706,4.0
103.0,158.0,6.404385089874268,3.0
77.0,166.0,6.407610974547957,3.0
39.0,163.0,6.589204788208008,3.0
71.0,179.0,6.793997690298749,5.0
170.0,175.0,6.867920800939512,4.0
165.0,197.0,7.0197126686955045,6.0
104.0,184.0,7.04820793139839,5.0
2.0,176.0,7.138586044311523,3.0
135.0,182.0,7.234964552178775,5.0
142.0,187.0,7.455003730432362,5.0
169.0,173.0,7.470618351674544,6.0
168.0,196.0,7.517102866030603,7.0
81.0,119.0,7.815906047821045,2.0
194.0,198.0,7.886903249277122,7.0
113.0,205.0,8.311401735192208,6.0
17.0,41.0,8.334595680236816,2.0
162.0,183.0,8.468934810263587,9.0
171.0,188.0,8.5836711019327,7.0
181.0,214.0,8.9175896059941,10.0
202.0,211.0,8.969657459217824,12.0
203.0,215.0,9.037930770368119,15.0
172.0,199.0,9.099169641770642,5.0
193.0,195.0,9.177950843140247,7.0
66.0,191.0,9.236615859260256,4.0
106.0,174.0,9.317633326027273,5.0
27.0,108.0,9.776261329650879,2.0
180.0,221.0,10.073596099758712,11.0
200.0,204.0,10.332238014790159,8.0
190.0,217.0,10.625967315719976,18.0
206.0,208.0,10.713194590088358,12.0
117.0,210.0,10.834882324427848,8.0
201.0,218.0,10.850547962892106,9.0
216.0,223.0,11.136943971431132,23.0
207.0,229.0,10.71875060583676,29.0
212.0,226.0,11.497755092985265,14.0
79.0,209.0,11.673063536910075,3.0
228.0,230.0,11.717173351556568,38.0
219.0,224.0,11.720520892922426,15.0
26.0,34.0,12.567788124084473,2.0
40.0,189.0,12.800583934570886,3.0
23.0,24.0,13.04796028137207,2.0
233.0,234.0,13.459374149747811,53.0
225.0,236.0,13.927724918877832,21.0
213.0,231.0,14.643771819831379,23.0
222.0,232.0,15.144345815815955,5.0
143.0,235.0,15.50856915812329,4.0
220.0,240.0,16.02045375838349,27.0
192.0,239.0,17.35253286086503,25.0
242.0,243.0,17.94755047434153,31.0
238.0,241.0,19.064696743711924,58.0
227.0,246.0,22.83792343752329,66.0
15.0,247.0,22.72372056043087,67.0
244.0,248.0,24.97963652200885,92.0
237.0,245.0,25.672945240627914,33.0
185.0,249.0,27.03188683902614,94.0
250.0,251.0,44.25009488663165,127.0
